rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
5349,10095484,K03839.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5699.00,152.00,-152.00,4.553,0.033,-0.187,-0.1000,0.3000,-0.3000,0.8530,0.2330,-0.0780,0.9500,0.0940,-0.1040,,,
5350,5467102,K03840.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5982.00,189.00,-210.00,4.493,0.054,-0.216,-0.0400,0.2500,-0.3000,0.9600,0.3000,-0.1000,1.0470,0.1390,-0.1390,,,
5351,6780367,K07789.01,,FALSE POSITIVE,FALSE POSITIVE,0.3580,5109.00,136.00,-136.00,3.757,0.907,-0.302,-0.3800,0.3000,-0.3000,2.0200,1.3010,-1.3010,0.8500,0.2260,-0.1640,,,
5352,10281221,K03913.01,,CANDIDATE,CANDIDATE,1.0000,6263.00,169.00,-225.00,4.460,0.065,-0.208,-0.2200,0.2500,-0.3000,1.0090,0.2990,-0.1280,1.0680,0.1440,-0.1440,,,
5353,6525946,K02093.03,,CANDIDATE,CANDIDATE,0.9940,5096.00,77.00,-46.00,2.435,0.117,-0.143,-1.5200,0.1500,-0.1500,8.7690,3.3190,-1.1060,0.7630,0.3670,-0.0150,,,
5354,5471496,K03914.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4624.00,125.00,-139.00,4.619,0.035,-0.035,-0.0600,0.3000,-0.3000,0.6840,0.0520,-0.0520,0.7100,0.0640,-0.0580,,,
5355,4544620,K03915.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5401.00,159.00,-159.00,4.593,0.037,-0.112,-0.1600,0.3000,-0.3000,0.7770,0.1320,-0.0660,0.8710,0.0700,-0.1040,,,
5356,5784777,K03916.01,Kepler-1529 b,CONFIRMED,CANDIDATE,1.0000,5057.00,151.00,-136.00,4.573,0.072,-0.048,-0.4400,0.3500,-0.3000,0.7040,0.0720,-0.0720,0.6760,0.0930,-0.0430,,,
5357,6863187,K07794.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5957.00,182.00,-223.00,4.498,0.046,-0.184,0.0700,0.2500,-0.3000,0.9710,0.2730,-0.0910,1.0830,0.1120,-0.1370,,,
5358,6949061,K01960.02,Kepler-343 c,CONFIRMED,CANDIDATE,0.9920,5808.00,105.00,-117.00,4.185,0.176,-0.108,0.1400,0.1500,-0.1500,1.3740,0.2210,-0.2460,1.0540,0.1000,-0.0800,,,
5359,9719636,K03686.01,,FALSE POSITIVE,FALSE POSITIVE,0.0150,5984.00,189.00,-210.00,4.408,0.090,-0.195,-0.1200,0.3000,-0.3000,1.0330,0.3220,-0.1610,0.9950,0.1530,-0.1260,,,
5360,2452440,K03687.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5753.00,192.00,-192.00,4.423,0.153,-0.187,-0.5600,0.3000,-0.3000,0.8940,0.2180,-0.1450,0.7710,0.1120,-0.0520,,,
5361,5020034,K03688.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6381.00,177.00,-244.00,4.155,0.246,-0.164,-0.3600,0.3000,-0.3000,1.4230,0.3940,-0.3940,1.0550,0.1670,-0.1520,,,
